Color Profiles Image	basic features	none	none
modern operating system	OS	hypernym	none
modern operating system	Part	hypernym	none
Color Profiles Image	Part	none	none
OS	basic features	none	none
modern operating system	basic features	hypernym	none
modern operating system	Color Profiles Image	none	none
OS	Part	none	none
Part	basic features	none	none
OS	Color Profiles Image	none	none
feature	attackers	none	none
attackers	accessible attack surface	hyponym	none
information disclosure	remote code execution	hyponym	none
information disclosure	feature	hypernym	none
feature	Image parsing	none	none
information disclosure	attackers	hypernym	none
attackers	remote code execution	none	none
attackers	Image parsing	none	none
accessible attack surface	Image parsing	hypernym	hyponym
Image parsing	vulnerability	hypernym	hypernym
information disclosure	Image parsing	hyponym	none
feature	remote code execution	hyponym	none
remote code execution	vulnerability	hypernym	none
remote code execution	accessible attack surface	none	none
attackers	vulnerability	hypernym	hypernym
remote code execution	Image parsing	hypernym	none
feature	accessible attack surface	none	none
information disclosure	accessible attack surface	hyponym	none
information disclosure	vulnerability	hypernym	hypernym
accessible attack surface	vulnerability	hypernym	hypernym
feature	vulnerability	hypernym	none
harness	Windows OS’ built-in image parsers	none	none
vulnerabilities	fuzzing	hyponym	none
fuzzing	harness	hypernym	none
fuzzing	Windows OS’ built-in image parsers	none	none
I	harness	none	none
I	Windows OS’ built-in image parsers	none	none
related file formats	Windows OS’ built-in image parsers	none	none
related file formats	vulnerabilities	hypernym	none
multi-part blog series	harness	hypernym	none
multi-part blog series	Windows OS’ built-in image parsers	none	none
corpus	harness	hypernym	none
corpus	Windows OS’ built-in image parsers	none	none
corpus	related file formats	none	none
multi-part blog series	I	none	none
vulnerabilities	Windows OS’ built-in image parsers	hyponym	none
vulnerabilities	harness	hypernym	none
multi-part blog series	related file formats	hypernym	none
I	vulnerabilities	none	none
corpus	I	none	none
I	fuzzing	none	none
multi-part blog series	corpus	hypernym	none
related file formats	harness	none	none
related file formats	fuzzing	none	none
multi-part blog series	vulnerabilities	hypernym	none
I	related file formats	none	none
multi-part blog series	fuzzing	hypernym	none
corpus	vulnerabilities	none	none
corpus	fuzzing	hyponym	none
part	series	none	none
image format	I	none	none
images	series	none	none
image format	series	hypernym	none
images	I	none	none
I	part	none	none
color profiles	something	none	none
itself	part	hypernym	none
color profiles	images	none	none
image format	itself	none	none
itself	series	none	none
I	series	none	none
image format	part	hypernym	none
images	something	none	none
color profiles	part	hypernym	none
color profiles	itself	hypernym	none
color profiles	image format	hypernym	none
something	itself	none	none
something	I	none	none
something	image format	none	none
something	series	none	none
images	part	none	none
something	part	none	none
color profiles	series	hypernym	none
images	itself	none	none
color profiles	I	none	none
images	image format	none	none
itself	I	none	none
What	ICC Color Profile	none	none
color space	more-than-adequate description	none	none
data	set	hyponym	none
color space	set	hypernym	none
standards	more-than-adequate description	none	none
color management	color input or output device	none	none
ICC	color input or output device	none	none
more-than-adequate description	color input or output device	none	none
color space	ICC color profiles	none	none
data	ICC color profiles	none	none
ICC color profiles	set	none	none
data	color space	none	none
ICC color profiles	ICC	none	none
data	ICC	none	none
color space	ICC	none	none
International Color Consortium	ICC	none	none
data	color input or output device	none	none
International Color Consortium	Wikipedia	none	none
ICC profile	Wikipedia	none	none
data	International Color Consortium	none	none
Wikipedia	color input or output device	none	none
data	color management	hyponym	none
color management	ICC profile	none	none
color management	ICC	none	none
more-than-adequate description	ICC profile	none	none
International Color Consortium	ICC profile	none	none
standards	set	none	none
ICC	Wikipedia	none	none
color management	Wikipedia	none	none
standards	ICC color profiles	none	none
more-than-adequate description	Wikipedia	none	none
set	color input or output device	none	none
color space	International Color Consortium	none	none
ICC	ICC profile	none	none
standards	color input or output device	none	none
ICC color profiles	International Color Consortium	none	none
data	Wikipedia	none	none
standards	color management	instance	none
color management	color space	hypernym	none
data	ICC profile	none	none
color space	ICC profile	none	none
set	ICC profile	none	none
color management	International Color Consortium	none	none
ICC color profiles	ICC profile	none	none
color management	more-than-adequate description	none	none
color space	Wikipedia	none	none
set	Wikipedia	none	none
ICC	more-than-adequate description	none	none
ICC color profiles	Wikipedia	none	none
standards	Wikipedia	none	none
color management	set	hypernym	none
more-than-adequate description	set	none	none
data	standards	hypernym	none
International Color Consortium	set	none	none
standards	ICC profile	none	none
data	more-than-adequate description	none	none
International Color Consortium	more-than-adequate description	none	none
standards	color space	none	none
ICC profile	color input or output device	none	none
color management	ICC color profiles	none	none
standards	ICC	none	none
International Color Consortium	color input or output device	none	none
color space	color input or output device	none	none
ICC	set	none	none
standards	International Color Consortium	none	none
ICC color profiles	more-than-adequate description	none	none
ICC color profiles	color input or output device	none	none
PCS	Profiles	none	none
device source	viewing requirement	none	none
mapping	profile connection space	hyponym	none
Profiles	profile connection space	none	none
particular device	mapping	none	none
PCS	viewing requirement	none	none
color attributes	viewing requirement	hypernym	none
Profiles	particular device	none	none
particular device	device source	none	none
viewing requirement	profile connection space	none	none
PCS	profile connection space	none	none
device source	profile connection space	hyponym	none
mapping	viewing requirement	none	none
color attributes	particular device	hypernym	none
PCS	particular device	none	none
Profiles	viewing requirement	none	none
color space	profile connection space	none	none
color attributes	color space	none	none
color attributes	profile connection space	none	none
color attributes	PCS	none	none
PCS	color space	none	none
color space	particular device	none	none
color space	viewing requirement	none	none
particular device	viewing requirement	hyponym	none
PCS	device source	none	none
color space	mapping	hypernym	none
PCS	mapping	none	none
color attributes	mapping	hypernym	none
color space	device source	hypernym	none
color attributes	Profiles	none	none
Profiles	device source	none	none
color attributes	device source	none	none
mapping	device source	hyponym	none
Profiles	mapping	none	none
particular device	profile connection space	none	none
color space	Profiles	none	none
L*a*b	PCS	none	none
PCS	CIELAB	none	none
L*a*b	CIELAB	none	none
series	parameters	none	none
tables	parameters	hypernym	none
tables	interpolation	hypernym	none
tables	series	hypernym	none
tables	Mappings	none	none
parameters	Mappings	none	none
parameters	interpolation	none	none
series	Mappings	none	none
series	interpolation	none	none
Mappings	interpolation	none	none
series	transformations	none	none
transformations	interpolation	none	none
parameters	transformations	none	none
transformations	Mappings	none	none
tables	transformations	hypernym	none
images	software processes	none	none
images	ICC color profile	none	none
binary file	software processes	hypernym	none
binary file	ICC color profile	none	none
software processes	ICC color profile	none	none
ICC	simpler terms	none	none
ICC color profile	simpler terms	none	none
software processes	ICC	none	none
binary file	ICC	none	none
images	ICC	none	none
ICC	ICC color profile	none	none
images	simpler terms	instance	none
binary file	simpler terms	hypernym	none
images	binary file	hyponym	none
software processes	simpler terms	hyponym	none
ICC specification	100 pages	none	none
math	different types	none	none
file format	specifications	none	none
better understanding	different types	hypernym	none
file format	color transformation	none	none
color profiles	different types	none	none
color transformation	different types	hypernym	none
color profiles	file format	none	none
math	file format	none	none
math	color transformation	hyponym	none
better understanding	file format	hypernym	none
math	specifications	none	none
better understanding	specifications	none	none
color profiles	specifications	none	none
file format	different types	none	none
better understanding	color transformation	hypernym	none
color profiles	color transformation	none	none
color transformation	specifications	none	none
different types	specifications	none	none
color profiles	better understanding	hypernym	none
color profiles	math	none	none
math	better understanding	none	none
us	understanding	none	none
fuzzing dictionaries	file format internals	none	none
information	good corpus	none	none
fuzzing	good corpus	none	none
information	fuzzing	hyponym	none
us	information	none	none
fuzzing dictionaries	information	hypernym	none
file format internals	fuzzing	hypernym	none
us	good corpus	none	none
us	file format internals	none	none
understanding	fuzzing	hyponym	none
us	fuzzing	hyponym	none
file format internals	good corpus	none	none
fuzzing dictionaries	understanding	hypernym	none
understanding	file format internals	none	none
fuzzing dictionaries	fuzzing	hypernym	none
fuzzing dictionaries	us	hypernym	none
understanding	information	hypernym	none
understanding	good corpus	instance	none
information	file format internals	none	none
fuzzing dictionaries	good corpus	hypernym	none
Windows	Windows Windows	none	none
Windows	History	none	none
Color Management	Windows Windows	none	none
Color Management	History	none	none
Windows	Color Management	none	none
Windows Windows	History	none	none
Image Color Management (ICM) version	Color Management	none	none
Color Management	version	none	none
Image Color Management (ICM) version	History	none	none
Windows	Image Color Management (ICM) version	none	none
Windows Windows	version	none	none
Image Color Management (ICM) version	Windows Windows	none	none
History	version	none	none
Image Color Management (ICM) version	version	none	none
Windows	version	none	none
WCS	Windows Color System	none	none
major overhaul	Windows Vista	none	none
major overhaul	WCS	none	none
Windows Vista	Windows Color System	none	none
major overhaul	Windows Color System	none	none
WCS	Windows Vista	none	none
WCS color profiles	XML file format	none	none
ICC color profiles	WCS color profiles	none	none
WCS color profiles	XML	none	none
XML	XML file format	none	none
binary files	XML	hypernym	none
binary files	XML file format	none	none
ICC color profiles	XML	none	none
ICC color profiles	XML file format	none	none
ICC color profiles	binary files	none	none
binary files	WCS color profiles	none	none
I	blog post	none	none
I	ICC color profiles	none	none
blog post	ICC color profiles	none	none
Microsoft	supported Windows APIs	none	none
Microsoft	list	none	none
supported Windows APIs	list	hypernym	none
OpenColorProfile	we	none	none
MSCMS.dll	OpenColorProfile	none	none
named APIs	we	hypernym	none
OpenColorProfile	named APIs	none	none
named APIs	it	hypernym	none
MSCMS.dll	we	none	none
OpenColorProfile	it	hypernym	none
MSCMS.dll	it	none	none
MSCMS.dll	named APIs	none	none
it	we	none	none
Adobe’s CMM	CMM	none	none
loading	Adobe’s CMM	none	none
loading	Microsoft’s Color Management Module	none	none
DLL	Adobe’s CMM	none	none
loading	generic entry point	hyponym	none
DLL	generic entry point	none	none
generic entry point	third-party CMMs	none	none
loading	third-party CMMs	none	none
DLL	CMM	none	none
Microsoft’s Color Management Module	third-party CMMs	none	none
generic entry point	Adobe’s CMM	none	none
Adobe’s CMM	third-party CMMs	none	none
Microsoft’s Color Management Module	DLL	none	none
