vulnerabilities	real-time threat intelligence	hyponym	none
actionable recommendations	real-time threat intelligence	hyponym	hyponym
vulnerabilities	Keysight’s Threat Simulator	instance	none
vulnerabilities	actionable recommendations	instance	none
actionable recommendations	Keysight’s Threat Simulator	none	none
real-time threat intelligence	Keysight’s Threat Simulator	instance	none
operational security effectiveness	leading technology company	hypernym	none
service providers	SecOps platform	none	none
Breach Defense	security operations	hypernym	none
Breach Defense	Inc NYSE	none	none
world	KEYS	none	none
governments	leading technology company	none	none
leading technology company	KEYS	hypernym	none
Keysight Technologies	security operations	hyponym	none
service providers	KEYS	hypernym	none
operational security effectiveness	world	hypernym	none
service providers	leading technology company	hypernym	none
world	SecOps platform	none	none
governments	SecOps platform	none	none
enterprises	leading technology company	instance	none
Keysight Technologies	operational security effectiveness	instance	none
Keysight Technologies	innovation	hypernym	none
leading technology company	security operations	hypernym	none
world	leading technology company	hyponym	none
governments	enterprises	none	none
operational security effectiveness	Inc NYSE	none	none
Keysight Technologies	Inc NYSE	none	none
operational security effectiveness	security operations	hypernym	none
Breach Defense	leading technology company	none	none
enterprises	world	none	none
innovation	security operations	hyponym	none
Inc NYSE	SecOps platform	none	none
service providers	Inc NYSE	instance	none
operational security effectiveness	innovation	hypernym	none
service providers	security operations	hyponym	none
Keysight Technologies	enterprises	none	concept
Inc NYSE	innovation	concept	none
operational security effectiveness	SecOps platform	none	none
enterprises	Inc NYSE	none	none
enterprises	security operations	hyponym	none
service providers	Keysight Technologies	instance	none
governments	KEYS	none	none
service providers	innovation	hypernym	none
Breach Defense	enterprises	hypernym	none
operational security effectiveness	enterprises	hypernym	none
world	security operations	hyponym	none
enterprises	innovation	none	none
KEYS	Inc NYSE	none	none
KEYS	security operations	hyponym	none
enterprises	SecOps platform	none	none
Breach Defense	world	hypernym	none
service providers	Breach Defense	hypernym	none
Keysight Technologies	KEYS	hypernym	none
world	innovation	concept	none
security operations	SecOps platform	instance	none
KEYS	innovation	none	none
governments	innovation	hypernym	none
KEYS	SecOps platform	none	none
Keysight Technologies	Breach Defense	none	none
Keysight Technologies	SecOps platform	none	none
Keysight Technologies	world	hypernym	none
governments	operational security effectiveness	hyponym	none
innovation	SecOps platform	none	none
enterprises	KEYS	none	none
Breach Defense	KEYS	hypernym	none
world	Inc NYSE	none	none
Inc NYSE	security operations	concept	none
leading technology company	Inc NYSE	none	none
governments	security operations	hyponym	none
governments	Inc NYSE	none	none
Keysight Technologies	leading technology company	none	concept
governments	world	hypernym	none
service providers	governments	hypernym	none
service providers	operational security effectiveness	hyponym	none
leading technology company	SecOps platform	none	none
leading technology company	innovation	hypernym	none
Breach Defense	SecOps platform	none	concept
service providers	enterprises	hypernym	none
Breach Defense	innovation	hypernym	concept
Keysight Technologies	governments	hypernym	none
Breach Defense	operational security effectiveness	hyponym	none
operational security effectiveness	KEYS	hypernym	none
governments	Breach Defense	none	none
service providers	world	hypernym	none
exploits	operational security	hyponym	none
effectiveness	network and security operations teams	hypernym	none
live networks	operational security	hypernym	none
effectiveness	live networks	instance	none
network and security operations teams	live networks	hypernym	none
integral element	new platform	none	none
network and security operations teams	integral element	concept	none
effectiveness	new platform	none	none
network and security operations teams	new platform	hypernym	none
latest attacks	integral element	hypernym	none
Threat Simulator breach and attack simulation solution	latest attacks	hypernym	none
Threat Simulator breach and attack simulation solution	new platform	hypernym	none
effectiveness	operational security	hyponym	none
network and security operations teams	operational security	hypernym	hypernym
latest attacks	live networks	hypernym	none
integral element	operational security	hypernym	none
latest attacks	effectiveness	hypernym	none
latest attacks	network and security operations teams	hypernym	none
new platform	live networks	hyponym	none
effectiveness	exploits	none	none
network and security operations teams	exploits	hypernym	none
Threat Simulator breach and attack simulation solution	exploits	hypernym	none
integral element	exploits	hypernym	none
Threat Simulator breach and attack simulation solution	operational security	hypernym	none
latest attacks	operational security	hypernym	none
integral element	live networks	hypernym	none
new platform	operational security	hyponym	none
exploits	live networks	hypernym	none
Threat Simulator breach and attack simulation solution	live networks	hypernym	none
latest attacks	exploits	hypernym	hyponym
exploits	new platform	hyponym	none
Threat Simulator breach and attack simulation solution	network and security operations teams	hypernym	none
Threat Simulator breach and attack simulation solution	effectiveness	hypernym	none
Threat Simulator breach and attack simulation solution	integral element	hypernym	none
latest attacks	new platform	none	none
effectiveness	integral element	hypernym	none
Security operations teams organizations	complex network environment	hypernym	none
attack	Security operations teams	hyponym	none
attack	Security operations teams organizations	hyponym	none
Security operations teams	Security operations teams organizations	hyponym	none
cyber threats	attack	hypernym	none
cyber threats	Security operations teams	hyponym	none
attack	complex network environment	hypernym	none
Security operations teams	complex network environment	hyponym	none
cyber threats	complex network environment	instance	none
cyber threats	Security operations teams organizations	hyponym	none
cyber threats	flood	hypernym	none
attack	flood	none	none
Security operations teams	flood	hypernym	none
Security operations teams organizations	flood	hypernym	none
complex network environment	flood	hypernym	none
breach	50%	instance	none
50%	Good security tools	hyponym	none
survey respondents	survey respondents security solution	none	none
Good security tools	recent Keysight Security Operations Effectiveness survey	instance	none
survey respondents security solution	breach	hypernym	none
survey respondents	breach	hypernym	none
breach	Good security tools	hyponym	none
survey respondents security solution	recent Keysight Security Operations Effectiveness survey	none	none
50%	recent Keysight Security Operations Effectiveness survey	none	none
survey respondents security solution	50%	hypernym	none
survey respondents security solution	Good security tools	hypernym	none
survey respondents	50%	none	none
breach	recent Keysight Security Operations Effectiveness survey	hyponym	none
survey respondents	Good security tools	hyponym	none
survey respondents	recent Keysight Security Operations Effectiveness survey	none	none
Most organizations security	security	hypernym	none
test-based evidence	respondents	none	none
test-based evidence	respondents security products	none	none
test-based evidence	Most organizations	none	none
respondents	respondents security products	none	none
test-based evidence	35%	none	none
Most organizations	Most organizations security	none	none
Most organizations security	respondents	none	none
Most organizations	respondents security products	none	none
Most organizations security	35%	none	none
test-based evidence	security	hypernym	none
35%	respondents security products	none	none
35%	security	hypernym	none
Most organizations	security	hypernym	none
test-based evidence	Most organizations security	none	none
Most organizations	35%	none	none
35%	respondents	none	none
respondents	security	hyponym	none
Most organizations	respondents	none	none
security	respondents security products	hyponym	none
Most organizations security	respondents security products	none	none
solution	vulnerabilities	concept	none
solution	86%	none	none
company's security posture	86%	hypernym	none
value	security testing	hyponym	none
respondents	solution	none	none
company's security posture	value	hypernym	none
respondents	security testing	hyponym	none
86%	vulnerabilities	concept	none
value	solution	hypernym	none
value	vulnerabilities	concept	none
value	86%	none	none
security testing	vulnerabilities	hypernym	none
company's security posture	respondents	hypernym	none
company's security posture	solution	hypernym	none
Most organizations	security testing	hyponym	none
company's security posture	vulnerabilities	hypernym	none
respondents	86%	none	none
Most organizations	vulnerabilities	concept	none
Most organizations	value	none	none
Most organizations	86%	none	none
company's security posture	security testing	hypernym	none
security testing	86%	hypernym	none
