YOU	ZERO-DAY THREATS	none	none
revolutionary AI engines	best2 zero-day protection	instance	hypernym
Trojans	cyberattacks	concept	hypernym
phishing	cyberattacks	hypernym	hypernym
phishing	social engineering	instance	hypernym
cyberattacks	unknown ransomware	instance	hypernym
advanced email protections	pre-emptive user protections	none	hypernym
Pre-emptive User Protections	advanced email protections	hyponym	hypernym
Click-Time Protection	rules-based engines	none	hypernym
antiphishing	zero day protection	none	hypernym
guest network	network segment	hypernym	hypernym
perimeter	network segment	hypernym	hypernym
elevators	Endpoint security	hyponym	hypernym
HVAC systems	Endpoint security	hyponym	hypernym
cameras	Endpoint security	hyponym	hypernym
evasion-resistant threat emulation	best2 zero-day protection	concept	hypernym
best2 zero-day protection	threat extraction	concept	hyponym
pre-emptive user protections	threat extraction	hypernym	hyponym
Pre-emptive User Protections	threat extraction	hypernym	hyponym
rules-based engines	Threat Emulation	none	hyponym
rules-based engines	URL reputation	none	hyponym
rules-based engines	AI-based phishing protection	none	hyponym
rules-based engines	AI-based fraud protection	none	hyponym
network segment	internal network etc	hypernym	hyponym
malware	malware families	hypernym	hyponym
rules-based engines	Natural Language Processing	none	hyponym
malware	zero-day phishing	instance	none
zero-day malware	zero-day phishing and social engineering attacks	instance	none
"anti-virus, firewalls"	other core security solutions	instance	none
Conventional sandboxing solutions	malware evasion techniques	hypernym	none
HVAC systems	enterprise IoT	none	none
elevators	enterprise IoT	hyponym	none
cameras	enterprise IoT	instance	none
phishing	devastating attacks	instance	none
other email-based threats	worldwide breaches3	none	none
social engineering	worldwide breaches3	none	none
phishing	worldwide breaches3	instance	none
threats	risk	hypernym	none
Threat Emulation	multiple innovative technologies	hypernym	none
URL reputation	multiple innovative technologies	none	none
AI-based fraud protection	multiple innovative technologies	none	none
Click-Time Protection	multiple innovative technologies	none	none
documents	file types	none	none
executables	file types	hypernym	none
defense	Endpoint security	hyponym	none
devastating attacks	unknown ransomware	instance	none
devastating attacks	Trojans	hypernym	none
devastating attacks	social engineering	hypernym	none
devastating attacks	cyberattacks	hypernym	none
