CO2 fire extinguisher	asset	hypernym	hypernym
CO2 fire extinguisher	fire extinguisher	none	hypernym
CO2 fire extinguisher	movable asset	none	hypernym
CO2 fire extinguisher	tangible asset	hypernym	hypernym
ISO27001	control	hypernym	concept
ISO27001	control standard	none	concept
ISO27001	control standards	none	concept
ISO27001	standard control	none	concept
IT component	PDA	hyponym	hyponym
IT component	antivirus control compliant mobile	hyponym	hyponym
IT component	antivirus control compliant mobile device	hyponym	hyponym
IT component	antivirus software control compliant computer	hyponym	hyponym
IT component	asset	hypernym	hypernym
IT component	automatic locking control compliant computer	hyponym	hyponym
IT component	automatic locking control compliant mobile	hyponym	hyponym
IT component	automatic locking control compliant mobile device	hyponym	hyponym
IT component	backup media	instance	hyponym
IT component	backup storage in-house control compliant backup media	hyponym	hyponym
IT component	backup storage outside control compliant backup media	hyponym	hyponym
IT component	cd	instance	hyponym
IT component	cd and dvd	hyponym	hyponym
IT component	clock synchronization control compliant computer	hyponym	hyponym
IT component	complex firewall	hyponym	hyponym
IT component	compliant control	hyponym	hypernym
IT component	computer	hypernym	hyponym
IT component	control	hypernym	hypernym
IT component	data encryption software control compliant computer	hyponym	hyponym
IT component	dvd	instance	hyponym
IT component	emergency substitute device	hyponym	hyponym
IT component	equipment identification control compliant computer	hyponym	hyponym
IT component	firewall	hyponym	hyponym
IT component	firewall control compliant computer	hyponym	hyponym
IT component	internet filter control compliant computer	hyponym	hyponym
IT component	internet gateway	hyponym	hyponym
IT component	kensignton lock control compliant computer	hyponym	hyponym
IT component	magnetic tape	instance	hyponym
IT component	maintenance contract control compliant IT component	hyponym	hyponym
IT component	mobile	none	hyponym
IT component	mobile device	none	hyponym
IT component	movable asset	none	hypernym
IT component	multifunctional firewall	hyponym	hyponym
IT component	network component	hyponym	hyponym
IT component	notebook	none	hyponym
IT component	packet filter firewall	hyponym	hyponym
IT component	password regulation control compliant computer	hyponym	hyponym
IT component	personal firewall control compliant computer	hyponym	hyponym
IT component	placement control compliant IT component	hyponym	hyponym
IT component	printer	instance	hyponym
IT component	processing validation control compliant computer	hyponym	hyponym
IT component	removable hard disk	hyponym	hyponym
IT component	server	hypernym	hyponym
IT component	smartphone	none	hyponym
IT component	switch	instance	hyponym
IT component	tablet	none	hyponym
IT component	tangible asset	none	hypernym
IT component	teleworkstation	instance	hyponym
IT component	temperature surveillance system	hyponym	hyponym
IT component	test system	hyponym	hyponym
IT component	theft protection control compliant mobile	hyponym	hyponym
IT component	theft protection control compliant mobile device	hyponym	hyponym
IT component	usb stick	instance	hyponym
IT component	wireless access point	hyponym	hyponym
IT component	workstation	hyponym	hyponym
PDA	IT component	instance	hypernym
PDA	asset	hypernym	hypernym
PDA	mobile	hypernym	hypernym
PDA	mobile device	concept	hypernym
PDA	movable asset	instance	hypernym
PDA	tangible asset	none	hypernym
WKOITSicherheitshandbuch	control	concept	concept
WKOITSicherheitshandbuch	control standard	none	concept
WKOITSicherheitshandbuch	control standards	none	concept
WKOITSicherheitshandbuch	standard control	none	concept
access control	compliant control	hyponym	hypernym
access control	control	hypernym	hypernym
access control compliant organization	compliant control	hypernym	hypernym
access control compliant organization	control	hypernym	hypernym
access control regulation	asset	hypernym	hypernym
access control regulation	intangible asset	hypernym	hypernym
access control regulation	organization	hypernym	hypernym
access control regulation	policy	hypernym	hypernym
access control regulation control	asset	hypernym	hypernym
access control regulation control	intangible asset	hypernym	hypernym
access control regulation control	organization	hypernym	hypernym
access control regulation control compliant organization	asset	hypernym	hypernym
access control regulation control compliant organization	compliant control	hypernym	hypernym
access control regulation control compliant organization	control	hypernym	hypernym
access control regulation control compliant organization	intangible asset	hypernym	hypernym
access control regulation control compliant organization	organization	hypernym	hypernym
access control regulation policy	asset	hypernym	hypernym
access control regulation policy	intangible asset	hypernym	hypernym
access control regulation policy	policy	hypernym	hypernym
access log book	asset	hypernym	hypernym
access log book	document	hypernym	hypernym
access log book	movable asset	none	hypernym
access log book	tangible asset	hypernym	hypernym
access regulation	compliant control	hyponym	hypernym
access regulation	control	hypernym	hypernym
access regulation control compliant building	compliant control	hypernym	hypernym
access regulation control compliant building	control	hypernym	hypernym
access system	asset	hypernym	hypernym
access system	movable asset	hypernym	hypernym
access system	tangible asset	hypernym	hypernym
activities monitoring	asset	hypernym	hypernym
activities monitoring	intangible asset	hypernym	hypernym
activities monitoring	software	hypernym	hypernym
activities monitoring software	asset	hypernym	hypernym
activities monitoring software	intangible asset	hypernym	hypernym
activities monitoring software	software	hypernym	hypernym
air condition	asset	hypernym	hypernym
