section	yanacachi municipality	none
defender	murtaz shelia	none
title	pocock baronets	none
duo	shy child	none
defender	domingos nascimento dos santos filho	none
computer	htc flyer	none
airport	biskra - mohamed khider airport	none
title	baron hunsdon	none
label	food records	none
dvd	r5 (bootleg)	none
blog	techdirt	instance
security	certificate of annuity	none
organization	union for the mediterranean	none
category	trinity house of leith	none
system	polavision	none
william lai	mayor	none
police	carabinieri	none
defender	nelson gutiérrez	none
organization	harbinger resistance	none
system	binhex	none
radio	shikoku broadcasting	none
airport	merville–calonne airport	none
airport	angwin–parrett field	none
label	multitone records	none
airport	el porvenir sur airport	none
john rivas	designer	none
corps	corps suevia freiburg	none
nist hash function competition	competition	none
war	henry coyle rath	none
be file system	system	hypernym
printer	william stansby	none
jaguar (microarchitecture)	microarchitecture	hypernym
airport	ihtiman airfield	none
duo	blackalicious	none
website	travbuddy.com	none
title	herencia musical: 20 corridos inolvidables	none
bios	uncacheable speculative write combining	hyponym
frog	andes giant glass frog	none
title	the xanadu talisman	none
virus	pea mild mosaic virus	none
system	naaya	none
organization	fund for armenian relief	none
airport	çukurova regional airport	none
lobster	palinurus barbarae	none
duo	organized konfusion	none
airport	hasvik airport	none
system	sand cdbms	none
website	lolcat bible translation project	none
label	deluxe records	none
defender	knut holte	none
war	carl frederick falkenberg	none
organization	cultural institution	none
guard	elisabeth lupka	none
compiler	chicken (scheme implementation)	none
outpost	malaya zemlya	none
organization	hong kong alliance in support of patriotic democratic movements in china	none
dvd	phase two: slowboat to hades	none
artificial general intelligence	intelligence	hypernym
restheart	server	concept
software	sanskritocr	none
defender	abdallah lamrani	none
dd-wrt	firmware	none
category	international emmy award for best telenovela	none
man-on-the-side attack	form	hypernym
organization	inter-american institute for global change research	none
system	inboekstelsel	none
airport	gol airport, klanten	none
fire	1979 sydney ghost train fire	none
embedded system	system	hypernym
organization	european genetics foundation	none
organization	association of christian librarians	none
policy	beggar thy neighbour	none
red hat linux	linux	hypernym
system	direct traffic control	none
airport	barreiras airport	none
organization	delphian society	none
ultrabook	specification	none
organization	the neutral thousands	none
computer	worknc	none
title	getaway (the saint)	none
wireless access point	device	hypernym
list of sip response codes	protocol	hypernym
