Hyper Box ’	strength robust support structure	none
user communication	aggressive measures	none
unnecessary traffic	concept	none
demo	end	none
international service providers	Hyper Box	none
NUMBER OF INTRUSIONS DETECTED BY IDS REDUCED TO ONE-FIFTH WITH FURTHER REDUCTIONS EXPECTED	operation	none
considerable number	traffic	none
enormous amount	traffic	none
intrusions	IDSs	none
amount	spam e-mails	none
security operations	network	none
security operations	manual countermeasures	none
Japanese Internet industry	HYPER BOX TACKLES ATTACK TRAFFIC WITH IXIA THREATARMOR Hyper Box	none
cyberattacks	recent years	none
user communication	risk	none
Thanks	”	none
cases	intrusions	none
Hyper Box promise	Hyper Box	none
first domestic enterprise	days	none
glut	HYPER BOX TACKLES ATTACK TRAFFIC WITH IXIA THREATARMOR Hyper Box	none
daily basis	unable	none
research	ThreatARMOR	none
end	operation	none
functions	early stages	none
proof	concept	none
Engineering department	Hyper Box	none
trouble	reason	none
onslaught	network	none
year	days	none
network	”	none
attacks	network	none
aggressive measures	networks	none
days	industry	none
Engineering department	result	none
first domestic enterprise	telephone assistance	none
Mr. Matsuura	test run	none
counterattacks due	unable	none
percentage	Hyper Box ’ s	none
services	planning	none
cyberattacks	Hyper Box	none
risk	users	none
network	attack traffic	none
years	technical experience allow Hyper Box	none
glut	Japanese Internet industry	none
Hyper Box ’ s traffic	%	none
attacks	traffic	none
future	applications	none
service providers	opinion	none
inline/block mode	system	none
new product	proof	none
telephone assistance	hours	none
Mr. Matsuura	reason	none
massive attack traffic	manual countermeasures	none
bad IP addresses	result	none
Hyper Box	ThreatARMOR	none
trouble	”	none
domestic	Hyper Box	none
manual countermeasures	result	none
Hyper Box	March	none
time	order	none
network	massive attack traffic	none
risk	networks	none
private enterprises	counterattacks due	none
manual countermeasures	Hyper Box	none
demo	operation	none
%	ThreatARMOR	none
IDSs	place	none
logs	network	none
NUMBER OF INTRUSIONS DETECTED BY IDS REDUCED TO ONE-FIFTH WITH FURTHER REDUCTIONS EXPECTED	ThreatARMOR	none
users	technical experience allow Hyper Box	none
domestic	cyberattacks	none
bad IP addresses	interested	none
services	research	none
risk	aggressive measures	none
firewalls	Essential security infrastructures	none
sensitivity	network operation	none
glance	peace	none
Japanese Internet industry	recent years	none
private enterprises	networks	none
attacks	daily basis	none
Engineering department	network	none
Mr. Matsuura	known threats	none
”	proprietary “ ATI Rap Sheet	none
international service providers	cyberattacks	none
interested	result	none
cyberattacks	HYPER BOX TACKLES ATTACK TRAFFIC WITH IXIA THREATARMOR Hyper Box	none
massive attack traffic	result	none
day	telephone assistance	none
Japan ’	year	none
security operations	Engineering department	none
first domestic enterprise	industry	none
many reasons Mr. Matsuura	proprietary “ ATI Rap Sheet	none
Japan ’	first domestic enterprise	none
aggressive measures	users	none
communication	”	none
veteran	HYPER BOX TACKLES ATTACK TRAFFIC WITH IXIA THREATARMOR Hyper Box	none
year	high-quality hosting services	none
information	kind	none
Mr. Matsuura	ThreatARMOR	none
Hyper Box	hours	none
year	industry	none
user communication	private enterprises	none
Thanks	ThreatARMOR	none
main one	proprietary “ ATI Rap Sheet	none
future	ThreatARMOR	none
ideal	networks	none
same idea	known threats	none
aggressive measures	services	none
network	contrast	none
veteran	Japanese Internet industry	none
Mr. Matsuura	actual user machines	none
“ ThreatARMOR	networks	none
Japan ’	hours	none
Engineering department	manual countermeasures	none
NUMBER OF INTRUSIONS DETECTED BY IDS REDUCED TO ONE-FIFTH WITH FURTHER REDUCTIONS EXPECTED	end	none
PoC	proof	none
day	days	none
