Pizza	Neapolitan	hyponym	none
anchovies	mushrooms	hyponym	none
tomatoes	cheese	hyponym	none
tomatoes	olives	hyponym	none
anchovies	tomatoes	hyponym	none
cheese	olives	hyponym	none
anchovies	Pizza	hypernym	none
Pizza	olives	hyponym	none
pineapple	onions	hyponym	none
pineapple	cheese	hyponym	none
pineapple	olives	hyponym	none
tomatoes	Pizza	hyponym	none
pineapple	tomatoes	hyponym	none
tomatoes	meat	hyponym	none
cheese	mushrooms	hyponym	none
tomatoes	mushrooms	hyponym	none
Pizza	savory dish	hyponym	none
pineapple	anchovies	hyponym	none
anchovies	cheese	hyponym	none
pineapple	Pizza	hypernym	none
anchovies	olives	hyponym	none
mushrooms	meat	hyponym	none
anchovies	onions	hyponym	none
pineapple	mushrooms	hyponym	none
Pizza	mushrooms	hyponym	none
tomatoes	onions	hyponym	none
mushrooms	olives	hyponym	none
Pizza	meat	hyponym	none
cheese	onions	hyponym	none
Pizza	Italian	hyponym	none
Pizza	onions	hyponym	none
cheese	meat	hyponym	none
olives	onions	hyponym	none
mushrooms	onions	hyponym	none
Pizza	cheese	hyponym	none
pizza	pizzaiolo	hyponym	none
pizza	restaurant	hyponym	none
fork	pizza	hyponym	none
fork	knife	hyponym	none
word "pizza	twelve pizzas	hyponym	none
Foods	pizza	hyponym	none
bread	cheese	hyponym	none
cheese	lard	hyponym	none
cheese	flatbread	hyponym	none
flatbread	lard	hyponym	none
garlic	cheese	hyponym	none
salt	cheese	hyponym	none
salt	lard	hyponym	none
tomatoes	pizza	hyponym	none
pizza	pizza bakeries	hyponym	none
Neapolitan pizzaiolo	pizza	hypernym	none
archetypal pizza	pizza Margherita	hyponym	none
pizza	pizza Margherita	hyponym	none
pizza maker	pizza	hypernym	none
pizza maker	archetypal pizza	hyponym	none
Neapolitan pizzaiolo	pizza Margherita	hyponym	none
archetypal pizza	pizza	hyponym	none
pizza maker	pizza Margherita	hyponym	none
tomato	pizza	hyponym	none
basil	tomato	hyponym	none
three different pizzas	pizza	hyponym	none
tomato	mozzarella	hyponym	none
basil	mozzarella	hyponym	none
pizza	mozzarella	hyponym	none
pieces	portion-size slices	hyponym	none
dough	crust	hyponym	none
self-rising crusts	frozen pizzas	hyponym	none
uncooked pizza	pizzerias	hypernym	none
pizza	ovens	hyponym	none
oven	fresh dough	hyponym	none
oven	pizza	hyponym	none
pizza	restaurants	hyponym	none
pizza	wood	hyponym	none
pizza	cornmeal	hyponym	none
wood-fired pizza oven	Dome-shaped pizza ovens	hyponym	none
Greek pizza	Chicago-style pizza	hyponym	none
Greek pizza	pizza oven	hyponym	none
Chicago-style pizza	pizza oven	hypernym	none
hi tech pizza preparation tables	Pizzerias	hypernym	none
