companies	record	none
largest and most damaging data breaches	wave	none
’s	wave	none
companies	look	none
companies	largest and most damaging data breaches	none
data breaches	wave	none
data breaches	companies	none
data breaches	look	none
’s	companies	none
data breaches	record	none
wave	look	none
’s	record	none
wave	record	none
companies	wave	none
largest and most damaging data breaches	record	none
’s	look	none
’s	largest and most damaging data breaches	none
data breaches	largest and most damaging data breaches	none
data breaches	’s	none
largest and most damaging data breaches	look	none
look	record	none
data breaches	resources	none
data breaches	historical walk	none
historical walk	breaches	none
time	historical walk	none
time	data breaches	none
time	resources	none
data breaches	breaches	none
resources	historical walk	none
resources	breaches	none
time	breaches	none
data breach	incident	none
sensitive, protected, or confidential data	data breach	none
sensitive, protected, or confidential data	incident	none
data breach	TechTarget	none
sensitive, protected, or confidential data	TechTarget	none
TechTarget	incident	none
PHI	intellectual property	none
payment card information	PII	none
intellectual property	payment card information	none
identifiable information	intellectual property	none
PHI	PII	none
PCI	Data breaches	none
PCI	personal health information	none
trade secrets	intellectual property	none
Data breaches	payment card information	none
PHI	trade secrets	none
trade secrets	PII	none
PCI	identifiable information	none
trade secrets	personal health information	none
PHI	payment card information	none
PHI	personal health information	none
identifiable information	Data breaches	none
Data breaches	PII	none
trade secrets	payment card information	none
personal health information	Data breaches	none
personal health information	payment card information	none
PCI	trade secrets	none
PCI	PII	none
PCI	PHI	none
personal health information	intellectual property	none
identifiable information	payment card information	none
Data breaches	intellectual property	none
PHI	Data breaches	none
PCI	intellectual property	none
personal health information	PII	none
trade secrets	Data breaches	none
intellectual property	PII	none
identifiable information	personal health information	none
identifiable information	trade secrets	none
identifiable information	PII	none
identifiable information	PHI	none
PCI	payment card information	none
concern	consumers	none
consumers	companies	none
concern	companies	none
data breaches	companies	none
concern	data breaches	none
consumers	data breaches	none
impact	data breaches	none
impact	history	none
kind	data breaches	none
kind	history	none
impact	kind	none
history	data breaches	none
cloud computing	widespread attention	none
cloud computing	sizes	none
businesses	digital data	none
businesses	Origin	none
workforce mobility	digital data	none
cloud computing	digital data	none
businesses	Data Breaches Data breaches	none
workforce mobility	cloud computing	none
widespread attention	Origin	none
cloud computing	Origin	none
sizes	Origin	none
cloud computing	Data Breaches Data breaches	none
sizes	Data Breaches Data breaches	none
Data Breaches Data breaches	widespread attention	none
businesses	widespread attention	none
workforce mobility	sizes	none
businesses	sizes	none
workforce mobility	widespread attention	none
Data Breaches Data breaches	digital data	none
sizes	widespread attention	none
businesses	cloud computing	none
Data Breaches Data breaches	Origin	none
Origin	digital data	none
workforce mobility	Data Breaches Data breaches	none
sizes	digital data	none
workforce mobility	Origin	none
workforce mobility	businesses	none
widespread attention	digital data	none
restricted networks	local machines	none
sensitive business data	’s data	none
