largest credit and debit card breach	December	none
TJX breach	December	none
largest credit and debit card breach	TJX breach	none
November	December	none
November	TJX breach	none
November	largest credit and debit card breach	none
Target Corporation’s network	December	none
TJX breach	Target Corporation’s network	none
November	Target Corporation’s network	none
largest credit and debit card breach	Target Corporation’s network	none
personal information	40 million credit and debit card numbers	none
personal information	70 million records	none
40 million credit and debit card numbers	70 million records	none
Target incident	70 million records	none
Target incident	40 million credit and debit card numbers	none
Target incident	personal information	none
two hundred million dollars	credit card unions	none
ordeal	credit card unions	none
two hundred million dollars	cards	none
two hundred million dollars	ordeal	none
cards	credit card unions	none
ordeal	cards	none
only target	Target Corp.	none
only target	data breaches	none
Target Corp.	data breaches	none
568 data breaches	23rd	none
year	September	none
568 data breaches	September	none
September	23rd	none
year	23rd	none
year	568 data breaches	none
i.e., the Home Depot breach	latest significant breach	none
light	i.e., the Home Depot breach	none
light	September	none
i.e., the Home Depot breach	September	none
September	latest significant breach	none
light	latest significant breach	none
State	28 Home Depot stores	none
State	it	none
Alabama	September	none
September	it	none
Alabama	it	none
Alabama	28 Home Depot stores	none
September	28 Home Depot stores	none
Alabama	State	none
28 Home Depot stores	it	none
September	State	none
entire plot	larger breach	none
Target breach	2,200 Home Depot stores	none
larger breach	states	none
287 stores	states	none
large portion	entire plot	none
Target breach	larger breach	none
287 stores	entire plot	none
states	2,200 Home Depot stores	none
large portion	states	none
287 stores	2,200 Home Depot stores	none
287 stores	larger breach	none
entire plot	Target breach	none
287 stores	Target breach	none
entire plot	states	none
large portion	287 stores	none
large portion	larger breach	none
Target breach	states	none
larger breach	2,200 Home Depot stores	none
entire plot	2,200 Home Depot stores	none
large portion	Target breach	none
large portion	2,200 Home Depot stores	none
four other significant breaches	We	none
We	last two years	none
four other significant breaches	last two years	none
increasing number	scale	none
increasing number	data breach incidents	none
scale	data breach incidents	none
Sally Beauty Supply	282,000 cards	none
282,000 cards	March	none
Sally Beauty Supply	March	none
1.1 million cards	October	none
1.1 million cards	Neiman Marcus	none
July	October	none
1.1 million cards	July	none
July	Neiman Marcus	none
Neiman Marcus	October	none
Michaels	May	none
3 million cards	Michaels	none
3 million cards	January	none
3 million cards	4]. •	none
4]. •	January	none
Aaron Brother	4]. •	none
Aaron Brother	January	none
Aaron Brother	Michaels	none
Michaels	4]. •	none
Michaels	January	none
3 million cards	May	none
4]. •	May	none
January	May	none
Aaron Brother	May	none
3 million cards	Aaron Brother	none
P.F. Chang’s data breach	over 7 million cards	none
September	over 7 million cards	none
September	June	none
massive amounts	connected systems	none
P.F. Chang’s data breach	September	none
P.F. Chang’s data breach	June	none
over 7 million cards	massive amounts	none
over 7 million cards	connected systems	none
massive amounts	June	none
September	massive amounts	none
September	connected systems	none
over 7 million cards	June	none
P.F. Chang’s data breach	massive amounts	none
P.F. Chang’s data breach	connected systems	none
connected systems	June	none
X. Shu	A. Ciambrone	none
A. Ciambrone	D. Yao	none
X. Shu	VA	none
VA	Computer Science	none
X. Shu	Computer Science	none
Blacksburg	Virginia Tech	none
A. Ciambrone	K. Tian	none
X. Shu	Virginia Tech	none
X. Shu	K. Tian	none
A. Ciambrone	Computer Science	none
Blacksburg	Department	none
K. Tian	D. Yao	none
Blacksburg	VA	none
VA	D. Yao	none
X. Shu	Department	none
Department	D. Yao	none
Blacksburg	D. Yao	none
Department	A. Ciambrone	none
D. Yao	Computer Science	none
D. Yao	Virginia Tech	none
Department	VA	none
Blacksburg	A. Ciambrone	none
Blacksburg	K. Tian	none
Blacksburg	Computer Science	none
VA	Virginia Tech	none
Department	Computer Science	none
Department	Virginia Tech	none
Department	K. Tian	none
A. Ciambrone	Virginia Tech	none
A. Ciambrone	VA	none
Blacksburg	X. Shu	none
X. Shu	D. Yao	none
Computer Science	Virginia Tech	none
K. Tian	Virginia Tech	none
K. Tian	VA	none
K. Tian	Computer Science	none
fsubx	ketian	none
andrjc4	ketian	none
fsubx	andrjc4	none
K. Tian	A. Ciambrone	none
paper	A. Ciambrone	none
paper	K. Tian	none
Home Depot	nation	none
nation	Target	none
vast networks	Target	none
Home Depot	Target	none
vast networks	nation	none
Home Depot	vast networks	none
malware and data exfiltration	cyber threats	none
Target security division systems	cyber threats	none
malware and data exfiltration	networks	none
networks	cyber threats	none
Target security division systems	Target security division	none
cyber threats	Target security division	none
malware and data exfiltration	Target security division systems	none
malware and data exfiltration	Target security division	none
networks	Target security division	none
networks	Target security division systems	none
CIA	Target	none
malware detection service	breach	none
wellknown and reputable intrusion	Target	none
CIA early development	multiple malware alerts	none
multiple malware alerts	Target	none
CIA early development	Target	none
CIA	wellknown and reputable intrusion	none
breach	Target	none
malware detection service	wellknown and reputable intrusion	none
CIA	breach	none
malware detection service	multiple malware alerts	none
CIA early development	wellknown and reputable intrusion	none
breach	wellknown and reputable intrusion	none
malware detection service	Target	none
CIA	malware detection service	none
CIA early development	malware detection service	none
multiple malware alerts	breach	none
CIA early development	CIA	none
CIA early development	breach	none
CIA	multiple malware alerts	none
multiple malware alerts	wellknown and reputable intrusion	none
who	prevention functionalities	none
FireEye system	prevention functionalities	none
who	FireEye system	none
FireEye system	administrators	none
administrators	prevention functionalities	none
who	administrators	none
Target Corp.	early discovery	none
early discovery	breach	none
Target Corp.	breach	none
technical and legal perspectives	Target’s data breach incident	none
paper	Target’s data breach incident	none
paper	technical and legal perspectives	none
involved malware	breach	none
flaws	incident	none
description	analysis	none
Target’s network	breach	none
flaws	analysis	none
incident	breach	none
weeks	breach	none
Target’s network	weeks	none
flaws	description	none
weeks	involved malware	none
Target’s network	description	none
flaws	involved malware	none
Target’s network	analysis	none
involved malware	description	none
involved malware	analysis	none
flaws	weeks	none
weeks	description	none
incident	analysis	none
incident	involved malware	none
Target’s network	incident	none
flaws	Target’s network	none
Target’s network	involved malware	none
flaws	breach	none
breach	analysis	none
weeks	analysis	none
incident	description	none
weeks	incident	none
description	breach	none
Target data breach	arrest	none
public	investigation	none
public	arrest	none
Target data breach	investigation	none
Target data breach	public	none
investigation	arrest	none
cyber crimes	extradition	none
perpetrators	extradition	none
perpetrators	cyber crimes	none
international cooperation	investigation	none
prosecution	data breach discovery	none
legislation	difficulties	none
respect	investigation	none
international cooperation	prosecution	none
We	legislation	none
prosecution	respect	none
We	investigation	none
international cooperation	respect	none
international cooperation	data breach discovery	none
difficulties	investigation	none
We	prosecution	none
legislation	investigation	none
respect	difficulties	none
data breach discovery	investigation	none
We	respect	none
international cooperation	difficulties	none
We	data breach discovery	none
legislation	prosecution	none
prosecution	investigation	none
prosecution	difficulties	none
We	international cooperation	none
difficulties	data breach discovery	none
respect	data breach discovery	none
legislation	respect	none
We	difficulties	none
legislation	data breach discovery	none
legislation	international cooperation	none
financial cybercrimes	earlier incident	none
TJX data breach	earlier incident	none
arresting and sentencing criminals	earlier incident	none
financial cybercrimes	precedent	none
TJX data breach	financial cybercrimes	none
TJX data breach	arresting and sentencing criminals	none
TJX data breach	precedent	none
financial cybercrimes	arresting and sentencing criminals	none
precedent	earlier incident	none
arresting and sentencing criminals	precedent	none
deployments	effectiveness	none
us	existing security mechanisms	none
existing security mechanisms	incidents	none
effectiveness	increasing number	none
effectiveness	we	none
deployments	increasing number	none
data breaches	deployments	none
solutions	deployments	none
executions	existing security mechanisms	none
solutions	existing security mechanisms	none
data breaches	existing security mechanisms	none
deployments	incidents	none
executions	we	none
data breaches	executions	none
solutions	executions	none
we	us	none
data breaches	solutions	none
we	incidents	none
data breaches	incidents	none
solutions	incidents	none
deployments	existing security mechanisms	none
effectiveness	existing security mechanisms	none
effectiveness	us	none
data breaches	increasing number	none
solutions	increasing number	none
solutions	we	none
data breaches	we	none
deployments	us	none
increasing number	we	none
deployments	executions	none
we	existing security mechanisms	none
effectiveness	executions	none
increasing number	existing security mechanisms	none
data breaches	us	none
solutions	us	none
deployments	we	none
increasing number	us	none
effectiveness	incidents	none
executions	increasing number	none
us	incidents	none
increasing number	incidents	none
data breaches	effectiveness	none
solutions	effectiveness	none
executions	incidents	none
executions	us	none
payment ecosystem	entity	none
Credit card breach	banks	none
customers	huge negative impact	none
customers	entity	none
huge negative impact	card associations	none
Credit card breach	huge negative impact	none
huge negative impact	entity	none
huge negative impact	banks	none
huge negative impact	payment ecosystem	none
card associations	merchants	none
huge negative impact	merchants	none
Credit card breach	customers	none
entity	merchants	none
banks	entity	none
customers	payment ecosystem	none
Credit card breach	entity	none
payment ecosystem	merchants	none
card associations	banks	none
customers	banks	none
Credit card breach	payment ecosystem	none
card associations	entity	none
Credit card breach	merchants	none
customers	card associations	none
card associations	payment ecosystem	none
Credit card breach	card associations	none
customers	merchants	none
banks	merchants	none
banks	payment ecosystem	none
practices	payment ecosystem	none
paper	several insights	none
weak links	several insights	none
we	payment ecosystem	none
weak links	paper	none
payment ecosystem	existing security techniques	none
we	several insights	none
payment ecosystem	several insights	none
we	existing security techniques	none
practices	paper	none
payment ecosystem	paper	none
practices	we	none
practices	several insights	none
practices	existing security techniques	none
we	paper	none
paper	existing security techniques	none
weak links	existing security techniques	none
practices	weak links	none
weak links	we	none
several insights	existing security techniques	none
weak links	payment ecosystem	none
customers	merchants and customers data security	none
merchants and customers data security	several best practice suggestions	none
We	customers	none
We	several best practice suggestions	none
several best practice suggestions	merchants	none
information	merchants	none
merchants and customers data security	merchants	none
We	merchants and customers data security	none
customers	merchants	none
We	information	none
information	several best practice suggestions	none
information	customers	none
customers	several best practice suggestions	none
information	merchants and customers data security	none
We	merchants	none
18 Jan 20172 September Attackers	malware	none
Attackers	November	none
Fazio Mechanical Services	November	none
Attackers	malware	none
credit card data	malware	none
Target’s network	Fazio Mechanical Services	none
November	credit card data	none
Attackers	credit card data	none
Attackers	18 Jan 20172 September Attackers	none
November	18 Jan 20172 September Attackers	none
POS machines	credit card data	none
Target’s network	18 Jan 20172 September Attackers	none
Attackers	POS machines	none
Fazio Mechanical Services	18 Jan 20172 September Attackers	none
POS machines	malware	none
