vulnerabilities	real-time threat intelligence	hyponym	none
actionable recommendations	real-time threat intelligence	hyponym	hyponym
vulnerabilities	Keysight’s Threat Simulator	instance	none
vulnerabilities	actionable recommendations	instance	none
actionable recommendations	Keysight’s Threat Simulator	none	none
real-time threat intelligence	Keysight’s Threat Simulator	instance	none
service providers	SecOps platform	none	none
Breach Defense	security operations	hypernym	none
Breach Defense	Inc NYSE	none	none
leading technology company	KEYS	hypernym	none
service providers	KEYS	hypernym	none
service providers	leading technology company	hypernym	none
enterprises	leading technology company	instance	none
leading technology company	security operations	hypernym	none
Breach Defense	leading technology company	none	none
enterprises	world	none	none
innovation	security operations	hyponym	none
Inc NYSE	SecOps platform	none	none
service providers	Inc NYSE	instance	none
service providers	security operations	hyponym	none
Inc NYSE	innovation	concept	none
enterprises	Inc NYSE	none	none
enterprises	security operations	hyponym	none
service providers	Keysight Technologies	instance	none
service providers	innovation	hypernym	none
Breach Defense	enterprises	hypernym	none
enterprises	innovation	none	none
enterprises	SecOps platform	none	none
Breach Defense	world	hypernym	none
service providers	Breach Defense	hypernym	none
security operations	SecOps platform	instance	none
innovation	SecOps platform	none	none
enterprises	KEYS	none	none
Breach Defense	KEYS	hypernym	none
Inc NYSE	security operations	concept	none
leading technology company	Inc NYSE	none	none
service providers	governments	hypernym	none
service providers	operational security effectiveness	hyponym	none
leading technology company	SecOps platform	none	none
leading technology company	innovation	hypernym	none
Breach Defense	SecOps platform	none	concept
service providers	enterprises	hypernym	none
Breach Defense	innovation	hypernym	concept
Breach Defense	operational security effectiveness	hyponym	none
service providers	world	hypernym	none
exploits	operational security	hyponym	none
effectiveness	network and security operations teams	hypernym	none
live networks	operational security	hypernym	none
effectiveness	live networks	instance	none
network and security operations teams	live networks	hypernym	none
integral element	new platform	none	none
network and security operations teams	integral element	concept	none
effectiveness	new platform	none	none
network and security operations teams	new platform	hypernym	none
latest attacks	integral element	hypernym	none
Threat Simulator breach and attack simulation solution	latest attacks	hypernym	none
Threat Simulator breach and attack simulation solution	new platform	hypernym	none
effectiveness	operational security	hyponym	none
network and security operations teams	operational security	hypernym	hypernym
latest attacks	live networks	hypernym	none
integral element	operational security	hypernym	none
latest attacks	effectiveness	hypernym	none
latest attacks	network and security operations teams	hypernym	none
new platform	live networks	hyponym	none
effectiveness	exploits	none	none
network and security operations teams	exploits	hypernym	none
Threat Simulator breach and attack simulation solution	exploits	hypernym	none
integral element	exploits	hypernym	none
Threat Simulator breach and attack simulation solution	operational security	hypernym	none
latest attacks	operational security	hypernym	none
integral element	live networks	hypernym	none
new platform	operational security	hyponym	none
exploits	live networks	hypernym	none
Threat Simulator breach and attack simulation solution	live networks	hypernym	none
latest attacks	exploits	hypernym	hyponym
exploits	new platform	hyponym	none
Threat Simulator breach and attack simulation solution	network and security operations teams	hypernym	none
Threat Simulator breach and attack simulation solution	effectiveness	hypernym	none
Threat Simulator breach and attack simulation solution	integral element	hypernym	none
latest attacks	new platform	none	none
effectiveness	integral element	hypernym	none
Security operations teams organizations	complex network environment	hypernym	none
attack	Security operations teams	hyponym	none
attack	Security operations teams organizations	hyponym	none
Security operations teams	Security operations teams organizations	hyponym	none
cyber threats	attack	hypernym	none
cyber threats	Security operations teams	hyponym	none
attack	complex network environment	hypernym	none
Security operations teams	complex network environment	hyponym	none
cyber threats	complex network environment	instance	none
cyber threats	Security operations teams organizations	hyponym	none
cyber threats	flood	hypernym	none
attack	flood	none	none
Security operations teams	flood	hypernym	none
Security operations teams organizations	flood	hypernym	none
breach	50%	instance	none
50%	Good security tools	hyponym	none
survey respondents	survey respondents security solution	none	none
survey respondents security solution	breach	hypernym	none
survey respondents	breach	hypernym	none
breach	Good security tools	hyponym	none
survey respondents security solution	recent Keysight Security Operations Effectiveness survey	none	none
50%	recent Keysight Security Operations Effectiveness survey	none	none
survey respondents security solution	50%	hypernym	none
survey respondents security solution	Good security tools	hypernym	none
survey respondents	50%	none	none
breach	recent Keysight Security Operations Effectiveness survey	hyponym	none
survey respondents	Good security tools	hyponym	none
survey respondents	recent Keysight Security Operations Effectiveness survey	none	none
test-based evidence	respondents	none	none
test-based evidence	respondents security products	none	none
test-based evidence	Most organizations	none	none
respondents	respondents security products	none	none
test-based evidence	35%	none	none
test-based evidence	security	hypernym	none
35%	respondents security products	none	none
35%	security	hypernym	none
test-based evidence	Most organizations security	none	none
35%	respondents	none	none
respondents	security	hyponym	none
security	respondents security products	hyponym	none
value	security testing	hyponym	none
respondents	solution	none	none
respondents	security testing	hyponym	none
86%	vulnerabilities	concept	none
value	solution	hypernym	none
value	vulnerabilities	concept	none
value	86%	none	none
security testing	vulnerabilities	hypernym	none
respondents	86%	none	none
security testing	86%	hypernym	none
respondents	vulnerabilities	hypernym	none
respondents	value	hypernym	none
best security products	senior vice president	hypernym	none
senior vice president	IT solutions provider Sayers	none	none
cybersecurity	IT solutions provider Sayers	instance	none
best security products	Doug Close	none	none
best security products	IT solutions provider Sayers	instance	none
best security products	cybersecurity	hypernym	none
best security products	you	hypernym	none
senior vice president	cybersecurity	instance	none
detailed recommendations	gaps	hypernym	none
security gaps	gaps	hypernym	hypernym
gaps	attacks	hypernym	none
detailed recommendations	day	hypernym	none
security gaps	customers	hypernym	none
customers	gaps	hypernym	none
security gaps	day	hypernym	none
customers	day	none	none
attacks	day	hypernym	none
security gaps	attacks	hypernym	none
customers	attacks	hypernym	none
customers	detailed recommendations	none	none
security gaps	detailed recommendations	hypernym	none
detailed recommendations	attacks	hypernym	none
gaps	day	concept	none
security gaps	powerful advantage	hypernym	none
security capabilities	Paula Musich	instance	none
Paula Musich	market research firm Enterprise Management Associates	none	none
security capabilities	one point	hypernym	none
security capabilities	limited visibility	hypernym	none
security capabilities	time	hypernym	none
limited visibility	time	hypernym	none
Paula Musich	limited visibility	none	none
Paula Musich	time	hypernym	none
Paula Musich	organization's ongoing security posture	none	none
security capabilities	organization's ongoing security posture	hyponym	none
Paula Musich	security and risk management	none	none
limited visibility	one point	none	none
time	one point	none	none
market research firm Enterprise Management Associates	research director	none	none
security and risk management	time	hypernym	none
security and risk management	limited visibility	hypernym	none
market research firm Enterprise Management Associates	one point	none	none
security and risk management	research director	none	none
market research firm Enterprise Management Associates	organization's ongoing security posture	none	none
Paula Musich	one point	none	none
limited visibility	research director	hypernym	none
time	research director	none	none
Paula Musich	research director	none	none
security and risk management	market research firm Enterprise Management Associates	none	none
market research firm Enterprise Management Associates	limited visibility	none	none
market research firm Enterprise Management Associates	time	hypernym	none
security and risk management	one point	hypernym	none
security capabilities	security and risk management	hypernym	none
security capabilities	research director	hypernym	none
security and risk management	organization's ongoing security posture	hyponym	none
security capabilities	market research firm Enterprise Management Associates	instance	none
heart	security	hypernym	none
processes	security	hypernym	none
