	Test	Instances	Knocked out
0.0	0.7342465753424657	0.20740740740740743	0.7536324786324787
0.05	0.7346938775510203	0.21402214022140223	0.7426793950445136
0.1	0.7370544720914592	0.21481481481481482	0.7364574376612211
0.15	0.7390424814565071	0.20300751879699247	0.7439974389072672
0.2	0.7405913978494624	0.2014925373134328	0.741856242657268
0.25	0.7195121951219512	0.22480620155038755	0.7492832112137624
0.3	0.7218045112781954	0.20233463035019456	0.7509513742071882
0.35	0.7386900742741389	0.223938223938224	0.7450362433028679
0.4	0.7379169503063309	0.1953125	0.7517581610160595
0.45	0.7268993839835729	0.17120622568093385	0.7329876177373267
0.5	0.7245590230664858	0.17120622568093385	0.7354175409148132
0.6	0.709066305818674	0.20155038759689925	0.7370955920845985
0.7	0.6797562626946512	0.1532567049808429	0.7110692219080532
0.8	0.6726395589248795	0.15833333333333335	0.674190800681431
