	Test	Instances	Knocked out
0.0	0.7185792349726776	0.21245421245421245	0.7494917067950776
0.05	0.7247579529737206	0.2053231939163498	0.7370932754880695
0.1	0.723901098901099	0.2007434944237918	0.7487091222030983
0.15	0.7341597796143249	0.2066420664206642	0.7408845738942827
0.2	0.7388622344071281	0.22471910112359553	0.7490596453519613
0.25	0.7322404371584699	0.2058823529411765	0.7592651587554422
0.3	0.71448087431694	0.20817843866171004	0.7553327645051194
0.35	0.7305061559507524	0.20512820512820512	0.7448141745894555
0.4	0.7312414733969986	0.20216606498194944	0.753793545629408
0.45	0.7335593220338983	0.20512820512820512	0.7502133105802048
0.5	0.7192862045298558	0.20740740740740743	0.7459412966347705
0.6	0.7310810810810812	0.2058823529411765	0.755952380952381
0.7	0.7405886379192334	0.20512820512820512	0.7566418703506906
0.8	0.7334696659850033	0.22388059701492535	0.747502953495865
